bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b1987,7.20999146152926e-11,6.991231761624143e-11,6.159455736990902e-11,6.71441081330393e-11,1.656651133438379e-10,2.5676298869072496e-10,8.699580994347608e-11,6.925966162983138e-11,7.051655121166823e-11,9.968276460579689e-11,2.1826417280680323e-10,4.020224322597425e-10,8.529896984290763e-11,7.408164216489682e-11,7.366765884110224e-11,9.17035536569289e-11,2.270683870951115e-10,3.336811922687046e-10
b1988,9.98954709230652e-12,9.129610861426466e-12,1.2820506107677893e-11,8.052560631262267e-12,7.54403909914777e-12,6.440752935701709e-12,1.5855591597800228e-11,2.215165599250277e-11,1.3925292015339171e-11,9.538999648043262e-12,7.447027229611968e-12,1.29871279690096e-11,2.2277802484562074e-11,1.780883810636042e-11,1.3181127898672199e-11,1.2264111617249637e-11,9.380731314517956e-12,8.911103208048287e-12
b1990,1.1303086787759484e-10,1.182718883466233e-10,9.54663130498105e-11,1.0198702971908585e-10,7.670042899551991e-11,7.034172951354827e-11,1.2234001845393261e-10,1.246113320434756e-10,9.527584575248994e-11,9.813942311438651e-11,9.458712482215106e-11,1.1021117864580801e-10,1.1909461427646556e-10,1.1869214803379824e-10,8.507654345173884e-11,1.142090297592341e-10,1.0436721694170567e-10,1.3000359279138372e-10
b1991,3.0292887044659984e-11,3.232875023141825e-11,3.1696430299410235e-11,3.348974745606698e-11,2.991979423999353e-11,2.6000286932050717e-11,3.40422281727123e-11,3.519611344805483e-11,3.040572173575284e-11,3.3837176814947194e-11,2.948709692810274e-11,3.0045856298605107e-11,3.5341665529417095e-11,3.9098844674815234e-11,3.8759357015259616e-11,3.3617167576147745e-11,2.6676600967453058e-11,2.8987071753463004e-11
b1992,2.1015266770873022e-11,2.2910858804648373e-11,2.7690050035391785e-11,2.1779800240066217e-11,1.7845595406025754e-11,2.146253054307384e-11,2.1628612835506054e-11,2.258460426925951e-11,2.8555859199319392e-11,2.277799690665793e-11,2.4230857104743797e-11,2.3820173642725683e-11,2.7494946000462202e-11,2.616596895393916e-11,3.36746772085876e-11,2.2384508692716645e-11,1.8256929041926268e-11,1.972047363310783e-11
b1993,3.514420979546903e-11,2.4577917533733783e-11,2.353241855027315e-11,2.767452732739723e-11,2.1684498318857704e-11,1.5713664478817942e-11,2.808223562565487e-11,2.59281289766255e-11,2.8116314373723345e-11,2.512177553898717e-11,2.392116820027317e-11,2.7921663200242764e-11,3.373554200093409e-11,3.888262986555359e-11,3.770286290135797e-11,3.342323014852204e-11,2.3068522468997372e-11,2.9470069824832386e-11
b2000,3.015068431462941e-10,3.562757217359578e-10,3.5491257534005955e-10,4.3722987794894635e-10,3.750236811905698e-10,3.7786993001243217e-10,3.801669787682584e-10,3.12325781748232e-10,4.1463768445511933e-10,4.300653144497366e-10,3.918634779521344e-10,2.9437831269560485e-10,3.427715021801771e-10,3.065482104501323e-10,4.341898183637553e-10,3.5188622642712825e-10,2.9510355108983247e-10,2.8873152676178005e-10
b2001,3.3837871709999184e-11,2.7141125344414322e-11,3.278845197809218e-11,3.435512420310834e-11,3.254987779394858e-11,2.2938455698517544e-11,3.096928008455868e-11,3.026552669483098e-11,3.013487450136086e-11,2.8300259541580954e-11,2.664382571790808e-11,2.5804122489411548e-11,3.86706006182741e-11,2.893354963885841e-11,3.455709723231132e-11,3.1121090871349176e-11,2.3539672551717547e-11,2.5933620948298805e-11
b2002,2.4740214952771565e-11,2.002236929130779e-11,1.9170654872793522e-11,1.7261029808439437e-11,1.6157239942821624e-11,7.283394042872549e-12,3.1742056131801036e-11,1.5841737995808183e-11,1.4535814476584294e-11,1.6201792831727214e-11,1.879137252119473e-11,1.6318031866392608e-11,3.206305249964214e-11,2.2231100035238035e-11,1.5989653872239058e-11,1.63369151847036e-11,1.7061832024361698e-11,2.0217056791168157e-11
b2003,2.4493087389425345e-11,1.7678121303015527e-11,1.5717117781738807e-11,1.49290613339961e-11,1.1738490702350405e-11,6.681188282848945e-12,3.289497170855839e-11,1.3986964372995796e-11,2.3112204123196417e-11,1.4627529560628214e-11,1.6152329422022418e-11,1.2723500371348083e-11,2.156881058045308e-11,3.342850531427684e-11,1.531396560752522e-11,2.723569137815823e-11,2.5450090578144874e-11,2.167501761745432e-11
b2004,2.6023905351264428e-11,7.5832003260218e-12,8.712750074659554e-12,8.538619448274167e-12,3.916374464401328e-12,8.024688100595743e-12,1.35164836554188e-11,1.9199497679702306e-11,1.2812200111771925e-11,6.717533955831978e-12,5.060961439886986e-12,1.2135729973758632e-11,1.665386810734518e-11,1.8490381050195322e-11,7.882887575923308e-12,7.747681657774131e-12,1.2586729579408606e-11,7.65693557138332e-12
b2005,5.5666107703239414e-12,7.461544705818242e-12,7.858558890869404e-12,8.821718060997696e-12,3.0828359420314193e-12,4.737569873292889e-12,6.138296156142476e-12,8.265024402224789e-12,5.778051030799104e-12,5.084435408774513e-12,6.639692726839254e-12,6.633910621424802e-12,3.6414875005959746e-12,9.356782587967441e-12,3.878212069438206e-12,4.658736683106013e-12,9.730916985761274e-12,9.794326142646472e-12
b2007,1.930673197002013e-09,2.0034769162867376e-09,1.8272940886064114e-09,1.4603167423098242e-09,9.724988700417352e-10,6.884548220430858e-10,2.8818647442859543e-09,2.426723135297084e-09,1.8212276349357662e-09,1.596401448036221e-09,9.84523647724479e-10,1.1251596346626172e-09,2.4547610360400502e-09,3.0787006322117662e-09,2.346880190891502e-09,2.4756158566384744e-09,1.2922302830027663e-09,1.1288138354330162e-09
b2008,3.6403950774925665e-11,3.2179145731292514e-11,2.828486980759044e-11,2.435362764377328e-11,2.588212689517399e-11,2.1771327716398885e-11,3.1463119144386235e-11,3.9651136512428673e-11,2.6738504581089235e-11,3.0195202798121e-11,3.168601944972722e-11,3.7990111222200935e-11,4.1835803941156965e-11,3.6567312586224776e-11,3.233126353603328e-11,3.114044028631921e-11,3.5023943177484816e-11,3.5155321579916454e-11
b2009,1.021149436193378e-10,1.0442692102235858e-10,1.0054967950854466e-10,9.964731364582114e-11,9.628485279414412e-11,6.93007314023541e-11,1.270008716336765e-10,1.2416757590319104e-10,1.1920131492291259e-10,1.169893114753838e-10,9.778105626211531e-11,1.1539918941455237e-10,1.2956920641655445e-10,1.4344648861604865e-10,1.1397133298635843e-10,1.2658368678917224e-10,1.0492109223548097e-10,1.26888210957148e-10
b2010,1.8569373286665526e-11,1.6035281924390526e-11,1.4894867194529485e-11,1.6303929965383882e-11,1.3349261296154922e-11,1.190351675711012e-11,1.5094803755042188e-11,1.628499417257768e-11,1.516366737070777e-11,1.6145480741448123e-11,1.4109347044533418e-11,1.986000915596356e-11,2.8616595169777802e-11,2.0508419697526124e-11,1.6275075492658127e-11,1.766004814693703e-11,1.475494102129154e-11,1.691618013026023e-11
b2011,1.0052120973803051e-10,1.0423260299560058e-10,1.0092217956136838e-10,9.050098908987885e-11,9.695702668421172e-11,8.091494894313388e-11,1.1931752268941744e-10,1.1047447473583436e-10,1.0807020463351651e-10,9.914328374940159e-11,9.320869978193169e-11,9.017903486742431e-11,1.0832340778752524e-10,1.1484953390561203e-10,1.0206691388307147e-10,9.768002912300764e-11,9.552255440542673e-11,9.162137790363312e-11
b2012,4.228024798919084e-10,4.683812120312179e-10,4.2727019308859106e-10,4.381101693301272e-10,4.964927655804214e-10,5.685014280111917e-10,3.809349077105628e-10,3.949006813503527e-10,2.8299723066266273e-10,3.7528956899162434e-10,4.6560845246960276e-10,5.435793242349502e-10,5.759646133101229e-10,5.43842950762699e-10,4.898734246888025e-10,5.596230479072016e-10,6.208925181575607e-10,8.701516984487278e-10
b2013,1.56241821163735e-10,1.5509293188524587e-10,1.4546504472475084e-10,1.5800158422545592e-10,1.926175127882949e-10,2.0626937413357407e-10,1.3236208743500417e-10,1.2563149568674768e-10,1.2440831992590132e-10,1.5295308084048198e-10,1.7207268895615754e-10,1.821336607977946e-10,1.6283782149404174e-10,1.8559289302556297e-10,1.7056740798338408e-10,1.8414779592390685e-10,2.3203362355083692e-10,2.641975682369479e-10
