	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b2175	156	161	209	205	235	210	169	91	232
b2176	25	15	21	32	27	33	25	16	20
b2177	41	30	31	39	36	39	47	23	40
b2178	14	9	10	11	9	9	5	7	1
b2179	9	5	10	4	12	13	14	6	5
b2180	51	52	51	60	50	39	56	31	52
b2181	81	61	54	122	75	69	145	54	77
b2182	31	33	40	42	57	25	48	26	38
b2183	65	77	92	87	97	83	76	45	93
b2184	26	20	13	16	17	15	19	14	14
b2185	147	174	221	161	91	193	110	142	150
b2186	39	53	54	72	65	73	47	32	54
b2187	32	46	39	59	48	54	64	37	47
b2188	84	83	94	134	99	93	119	69	89
b2189	2	2	1	0	0	0	2	4	1
b2190	20	48	23	54	38	33	52	29	29
b2192	3	0	2	2	3	2	3	3	2
b2193	6	11	18	8	9	4	18	4	10
b2194	5	5	4	1	8	3	3	2	11
b2195	6	3	5	1	3	1	3	0	6
b2196	3	4	3	5	5	6	7	1	4
b2197	3	1	1	3	1	5	1	1	2
b2198	1	0	0	0	0	1	0	0	1
b2199	5	4	3	3	2	2	2	2	2
b2200	1	2	3	1	0	3	2	1	1
b2201	2	3	3	3	7	1	1	4	8
b2202	5	7	5	8	5	4	5	1	3
b2203	0	0	1	0	1	0	0	1	0
b2204	0	0	0	0	0	0	0	0	0
b2205	2	2	0	0	0	1	1	0	0
b2206	3	2	5	2	5	2	2	1	2
b2207	1	1	0	0	0	0	0	0	0
b2208	1	2	0	0	1	0	2	2	0
b2209	8	10	7	7	16	16	11	5	12
b2210	23	33	28	51	154	218	117	39	126
b2211	44	50	54	68	73	75	63	39	53
b2212	3	0	2	1	1	3	4	5	2
b2213	8	15	4	3	7	8	6	8	6
b2214	7	11	6	3	6	5	5	5	10
b2215	9198	7111	8199	3459	7373	4558	4565	3371	5785
b2216	224	226	228	307	288	262	325	167	250
b2217	199	182	221	221	297	230	282	149	267
b2218	80	93	86	98	113	105	108	59	90
b2219	9	12	8	9	11	15	17	12	6
b2220	5	8	12	11	6	14	11	13	5
b2221	2	2	1	0	0	1	0	1	1
b2222	1	1	0	0	0	0	1	0	0
b2223	3	2	4	2	3	3	2	0	1
b2224	0	4	3	0	1	3	2	2	2
b2225	1	2	3	1	3	6	4	1	3
b2226	1	2	3	3	5	0	3	7	3
b2229	0	2	0	1	1	1	0	0	1
b2230	8	8	3	6	5	5	5	5	5
b2231	439	439	551	325	539	292	316	261	602
b2232	40	42	56	54	43	28	39	27	55
b2233	21	20	15	22	27	18	19	15	16
b2234	96	116	163	163	221	218	149	95	237
b2235	67	83	110	98	144	127	104	54	126
b2236	8	1	5	5	9	6	3	2	7
b2237	25	27	24	8	34	20	13	10	21
b2238	1	1	1	3	2	3	1	3	2
b2239	34	37	33	59	64	56	57	33	40
b2240	4	1	4	6	8	3	6	2	3
b2241	2	1	0	1	2	1	3	0	0
b2242	0	2	1	1	3	1	3	1	0
b2243	0	3	1	3	3	5	4	2	1
b2244	18	29	23	16	30	18	32	26	24
b2245	2	5	5	15	3	6	8	5	5
b2246	1	1	1	1	5	3	5	1	2
b2247	0	4	1	0	1	1	4	3	1
b2248	2	1	0	2	1	4	5	1	0
b2249	44	39	53	59	45	50	40	30	45
b2250	3	4	6	2	4	4	5	2	3
b2251	6	4	9	4	7	5	7	3	4
b2252	5	1	4	8	6	0	3	2	2
b2253	31	26	28	27	27	15	16	24	16
b2254	14	11	17	10	9	7	10	13	6
b2255	46	34	24	32	25	19	23	29	21
b2256	8	9	9	3	3	7	2	7	7
b2257	8	17	10	13	10	16	12	13	10
b2258	9	3	9	11	7	4	6	4	8
b2259	14	5	8	15	14	8	9	4	12
b2260	5	11	18	9	15	6	10	8	11
b2261	13	6	21	6	12	8	6	9	19
b2262	30	29	33	21	23	23	19	28	42
b2263	5	9	9	8	7	10	8	3	8
b2264	12	11	18	11	6	11	8	8	12
b2265	62	61	60	47	48	34	52	40	66
b2266	839	796	676	399	658	338	477	507	509
b2267	36	30	39	37	53	37	40	23	34
b2268	16	23	18	23	37	20	37	19	16
b2269	2	6	5	1	2	4	6	2	2
b2270	16	8	5	9	9	5	11	7	3
b2271	3	2	1	2	0	1	3	1	1
b2272	0	3	2	2	1	0	2	0	0
b2273	0	3	0	0	2	0	0	0	1
b2274	3	1	3	1	2	7	3	0	1
b2275	4	7	8	9	17	11	7	4	4
b2276	20	21	44	29	35	24	17	12	30
b2277	31	27	47	38	39	26	16	14	51
b2278	16	16	34	17	25	19	14	13	35
b2279	1	4	2	0	6	1	1	1	0
b2280	16	14	16	12	11	14	8	9	11
b2281	15	13	23	11	14	20	10	9	19
b2282	16	21	22	20	18	24	11	11	25
b2283	73	91	131	74	117	80	54	52	114
b2284	49	56	69	35	45	44	21	24	61
b2285	24	16	41	21	29	23	12	9	26
b2286	61	83	99	54	83	82	50	27	88
b2287	63	53	91	47	71	53	41	24	76
b2288	43	38	53	41	54	41	41	15	43
b2289	49	59	52	116	111	77	121	61	82
b2290	46	70	93	62	63	57	68	36	68
b2291	23	26	21	33	34	25	32	36	35
b2292	11	17	17	17	15	17	18	9	8
b2293	83	105	108	194	161	140	102	65	105
b2294	150	177	196	328	279	261	239	122	188
b2295	36	42	32	53	33	26	44	30	30
b2296	173	235	230	230	439	377	395	209	312
b2297	105	118	175	134	181	193	148	121	208
b2298	2	4	2	5	4	3	4	2	2
b2299	73	101	107	81	110	101	128	72	95
b2300	88	91	80	92	115	93	130	56	94
b2301	53	42	36	47	72	46	71	35	36
b2302	35	40	43	24	24	25	35	32	19
b2303	89	115	109	93	111	114	113	68	103
b2304	68	83	89	66	108	97	93	76	92
b2305	9	9	15	9	16	15	11	12	16
b2306	29	20	17	21	19	23	17	11	20
b2307	21	18	19	23	29	16	27	14	26
b2308	21	37	25	31	35	24	26	19	36
b2309	182	145	139	127	241	156	167	101	180
b2310	217	192	255	294	299	270	315	125	212
b2311	12	19	8	19	16	22	13	17	14
b2312	88	125	145	104	169	123	77	98	126
b2313	41	35	53	45	95	57	49	30	62
b2314	16	20	15	20	20	22	12	23	24
b2315	22	22	24	23	23	22	21	18	49
b2316	196	218	245	218	282	224	215	142	287
b2317	26	26	30	63	48	52	44	29	33
b2318	18	18	26	24	27	35	13	11	20
b2319	29	44	46	59	49	48	54	34	67
b2320	82	75	88	79	88	87	82	47	98
b2321	16	22	16	28	32	25	18	9	20
b2322	3	8	6	2	3	6	3	5	4
b2323	294	434	591	435	457	442	355	275	573
b2324	34	41	29	43	45	44	44	25	47
b2325	15	10	25	7	15	16	10	15	21
b2326	25	28	31	30	40	22	32	22	43
b2327	20	20	26	28	29	20	23	11	24
b2328	19	33	32	32	38	30	31	22	32
b2329	64	106	125	122	163	135	67	54	120
b2330	77	112	147	105	136	105	101	76	128
b2331	26	19	25	30	25	27	23	11	25
b2332	34	35	37	50	39	52	48	32	41
b2333	2	2	1	2	1	0	0	1	3
b2334	1	1	0	1	3	2	2	3	2
b2335	1	2	1	2	0	2	2	0	1
b2336	1	1	0	0	4	2	4	0	0
b2339	0	0	0	0	0	1	0	0	0
b2340	60	88	68	83	86	63	69	57	80
b2341	105	53	64	88	41	57	35	61	58
b2342	28	31	26	40	11	13	14	28	19
b2343	21	9	14	9	19	5	12	6	13
b2344	50	42	56	54	43	50	39	33	44
b2345	0	8	5	6	2	2	5	6	3
b2346	84	57	85	81	100	71	92	49	93
b2347	46	44	37	36	23	41	38	48	31
b2348	0	0	1	1	1	0	0	0	0
b2349	10	16	18	22	21	15	17	6	11
b2350	28	29	35	35	38	44	51	30	30
b2351	66	106	88	93	82	68	93	55	79
b2352	34	29	32	12	35	15	24	29	22
b2353	3	6	6	8	10	4	4	7	11
b2354	5	6	2	7	7	9	8	3	4
b2355	1	3	2	0	2	1	3	1	1
b2356	0	0	0	1	0	0	0	0	0
b2357	0	0	0	0	0	0	1	0	0
b2358	0	0	0	0	0	1	0	0	0
b2359	3	1	1	1	0	3	2	1	2
b2360	3	4	2	2	8	2	4	4	7
b2361	0	1	0	0	1	0	0	1	0
b2362	1	0	2	2	2	3	4	0	0
b2363	1	1	2	5	3	1	4	1	1
b2364	7	13	14	13	10	10	16	6	14
b2365	5	8	10	13	5	12	11	8	6
b2366	15	17	28	16	27	20	23	15	23
b2367	0	3	4	3	8	2	3	1	0
b2368	2	0	3	2	0	5	6	2	2
b2369	39	28	46	38	59	39	56	17	45
b2370	26	22	40	24	42	32	33	18	37
b2371	3	5	7	5	5	3	7	5	5
b2372	0	2	4	5	1	7	6	1	2
b2373	5	9	5	6	8	8	10	2	3
b2374	7	8	12	13	12	6	7	3	5
b2375	2	6	4	2	4	11	2	3	3
b2376	0	2	4	3	0	5	1	2	0
b2377	10	6	4	7	10	6	7	1	4
b2378	13	7	15	14	7	10	19	11	4
b2379	41	66	54	97	55	70	47	36	57
b2380	28	29	28	37	38	25	33	16	31
b2381	29	35	36	56	47	61	50	22	43
b2382	17	16	6	13	13	13	13	4	11
b2383	6	9	6	8	4	10	8	2	1
b2384	1	1	4	0	0	0	1	0	0
b2385	0	4	0	1	0	2	1	3	1
b2386	0	2	1	0	2	3	1	2	0
b2387	0	3	0	0	1	1	0	1	0
b2388	40	46	60	65	54	70	50	34	45
b2389	27	20	31	27	24	23	23	17	26
b2390	39	34	25	46	28	43	32	45	33
b2392	390	363	351	546	500	539	596	325	488
b2393	104	103	134	247	207	182	191	111	157
b2394	15	23	27	39	46	24	24	17	26
b2395	24	22	25	32	35	20	33	18	26
b2396	7	4	13	2	2	3	4	3	7
b2397	18	14	18	15	19	14	10	14	22
b2398	14	8	18	17	22	14	23	6	11
b2399	9	9	8	16	18	7	21	4	4
b2400	248	257	289	257	263	210	201	169	314
b2401	11	2	6	4	9	3	3	6	10
b2402	17	15	15	10	12	3	13	10	27
b2403	12	10	16	14	15	5	4	11	13
b2404	9	14	15	7	9	11	8	7	16
b2405	12	13	4	14	16	12	15	5	11
b2406	4	5	5	3	9	4	6	3	3
b2407	0	5	1	0	4	1	0	0	0
b2408	4	6	7	7	0	6	8	3	5
b2409	8	12	7	10	12	15	14	8	16
b2410	18	23	20	35	23	39	43	27	26
b2411	65	83	92	71	76	66	56	45	75
b2412	145	157	177	126	182	145	130	84	172
b2413	19	31	35	32	32	35	45	17	32
b2414	1063	1840	1286	2144	3094	2679	3106	1499	2478
b2415	796	621	1134	1212	725	669	662	498	776
b2416	2806	2450	3559	4304	2990	2454	2965	1968	2648
b2417	1343	1032	1500	1926	1408	1126	1591	861	1294
b2418	74	90	79	90	105	111	62	52	75
b2419	8	6	5	5	12	4	8	3	6
b2420	13	14	14	24	26	12	23	13	17
b2421	31	41	42	52	69	52	34	31	74
b2422	20	32	29	35	65	69	31	41	69
b2423	13	24	21	19	50	52	29	23	38
b2424	9	17	11	11	25	34	21	13	28
b2425	31	70	45	59	110	136	80	74	128
b2426	11	12	23	13	17	12	10	6	15
b2427	7	5	2	1	16	0	6	1	3
b2428	4	7	9	5	3	3	7	4	7
b2429	7	7	4	7	7	8	7	3	6
b2430	5	5	1	4	7	6	5	7	3
b2431	51	45	69	54	65	59	35	30	47
b2432	23	31	38	44	43	28	22	19	28
b2433	8	13	11	7	12	11	13	5	7
b2434	22	26	27	25	45	24	29	12	31
b2435	41	49	59	58	87	61	58	27	51
b2436	10	22	28	21	25	24	15	6	26
b2437	8	13	7	8	10	3	6	1	10
b2438	4	3	4	4	3	4	8	0	5
b2439	3	4	2	1	2	6	1	3	7
b2440	1	7	4	1	1	4	5	1	1
b2441	35	40	60	45	45	49	60	28	54
b2442	31	33	40	45	45	43	49	20	42
b2443	7	11	10	8	7	9	15	6	5
b2444	1	2	0	1	1	2	3	4	2
b2445	0	2	2	3	0	5	4	1	3
b2446	4	3	2	4	8	1	6	0	1
b2447	2	5	7	3	6	7	11	8	1
