	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b3764	135	151	160	219	293	225	194	150	174
b3765	7	10	4	13	8	4	3	3	13
b3766	204	198	182	225	217	173	302	202	296
b3769	8	12	18	13	28	27	14	9	22
b3770	76	79	163	115	218	163	124	111	255
b3771	34	46	65	58	98	100	53	43	117
b3772	22	24	31	36	52	37	29	22	54
b3773	8	3	10	5	15	3	3	6	9
b3774	1229	987	2156	231	889	216	96	405	950
b3775	20	29	28	19	24	24	36	19	36
b3777	7	14	9	17	16	8	17	9	9
b3778	35	44	49	32	35	44	45	30	45
b3779	68	74	105	96	80	78	80	49	85
b3780	186	204	251	205	224	196	203	126	287
b3781	241	289	331	283	294	287	243	174	287
b3783	373	435	557	351	596	406	347	278	556
b3784	67	68	74	84	92	86	74	44	79
b3785	46	61	65	53	72	57	33	37	65
b3786	45	52	59	38	48	45	25	32	40
b3787	46	56	65	37	47	36	26	27	47
b3788	38	58	46	40	42	31	30	21	53
b3789	29	36	24	23	21	18	11	15	28
b3790	7	8	16	8	10	8	5	11	8
b3791	30	33	28	20	27	22	18	14	33
b3792	17	16	16	16	13	14	11	7	17
b3793	12	22	19	20	17	12	10	14	15
b3794	17	19	26	21	21	20	12	11	27
b3795	30	47	51	52	63	59	43	20	43
b3796	26	22	32	17	29	22	20	14	34
b3797	10	9	14	6	9	6	8	3	16
b3798	14	20	27	22	18	11	13	23	27
b3799	0	1	2	0	0	2	0	2	1
b3800	2	5	8	2	2	3	3	2	4
b3801	4	3	10	4	3	8	0	3	4
b3802	88	65	86	55	96	64	50	47	103
b3803	79	95	110	80	107	67	66	60	93
b3804	18	36	36	28	40	27	24	16	38
b3805	46	41	59	47	56	55	61	27	65
b3806	476	493	477	575	451	508	541	371	507
b3807	22	14	26	11	21	16	12	7	26
b3809	48	41	55	48	48	42	43	26	53
b3810	37	42	35	36	42	29	30	19	24
b3811	41	30	39	31	35	36	32	23	48
b3812	19	16	27	24	24	25	13	14	16
b3813	30	33	47	45	36	39	31	34	41
b3816	18	37	43	44	70	71	30	20	42
b3817	2	3	2	4	4	3	3	1	3
b3818	1	0	0	0	0	0	0	0	0
b3819	10	10	11	21	12	11	24	5	12
b3820	31	37	30	37	21	22	39	23	28
b3821	44	44	57	49	52	46	52	29	61
b3822	39	40	20	36	33	24	19	21	32
b3823	36	41	44	77	47	71	64	40	46
b3824	24	29	35	67	54	72	30	28	31
b3825	54	56	41	62	58	58	46	53	55
b3826	56	54	46	52	66	49	47	30	42
b3827	25	14	17	14	19	26	30	22	34
b3828	26	43	18	29	69	62	163	42	51
b3829	5715	7525	4908	4819	4871	3490	3158	8804	4662
b3830	126	124	156	67	122	75	84	88	139
b3831	190	190	230	211	264	179	178	111	200
b3832	18	7	17	10	10	13	15	12	11
b3833	82	70	104	68	93	93	65	53	98
b3834	39	38	37	30	32	34	25	27	42
b3835	42	41	71	60	70	50	62	37	66
b3836	84	56	80	105	103	97	169	58	110
b3838	41	68	61	49	66	50	63	43	71
b3839	36	42	51	32	52	28	37	23	40
b3842	18	22	18	20	27	16	19	10	22
b3843	124	107	125	115	133	126	123	83	148
b3844	82	72	83	101	58	78	82	56	91
b3845	13	5	9	9	5	6	1	2	9
b3846	54	40	40	83	20	35	19	35	23
b3847	105	108	136	112	158	118	149	93	147
b3848	8	26	16	11	14	10	18	10	11
b3849	47	37	49	33	50	44	43	21	54
b3850	22	24	32	31	30	32	32	21	29
b3851	27	194	37	54	33	21	10	48	54
b3852	7	7	4	0	5	6	5	4	5
b3853	3	0	2	0	1	1	1	2	4
b3854	54	474	73	132	67	46	25	72	119
b3855	0	0	1	1	0	0	0	0	0
b3856	12	5	4	14	9	8	7	7	8
b3857	16	14	16	28	36	23	23	11	21
b3858	49	35	50	42	61	45	51	23	44
b3859	49	45	72	53	72	62	78	38	67
b3860	96	89	144	104	128	98	102	77	113
b3861	4	5	2	4	6	4	11	4	3
b3862	10	13	8	9	15	12	14	5	11
b3863	234	234	263	283	301	262	293	154	262
b3864	9	5	7	9	6	4	14	14	11
b3865	78	49	67	55	78	56	59	37	73
b3866	75	71	70	75	75	90	48	55	84
b3867	53	63	53	52	54	49	44	28	42
b3868	17	17	23	10	16	9	13	14	6
b3869	16	9	17	7	15	13	10	9	7
b3870	778	385	654	242	201	168	134	338	227
b3871	877	818	1105	868	932	720	850	587	988
b3872	6	7	6	4	6	6	4	4	7
b3873	3	5	7	4	9	3	4	5	8
b3874	0	5	3	1	2	6	2	2	2
b3875	0	1	1	0	0	1	2	1	1
b3876	3	2	3	2	3	1	5	4	1
b3877	1	5	3	1	4	7	2	4	0
b3878	2	5	3	4	2	2	8	4	2
b3879	2	1	1	1	3	3	3	3	0
b3880	4	7	5	6	2	7	3	4	4
b3881	4	3	3	1	2	3	2	1	0
b3882	1	1	1	2	2	1	0	1	1
b3883	0	4	3	2	1	3	5	1	1
b3884	11	7	16	11	20	21	16	7	20
b3885	32	40	39	40	46	40	28	26	21
b3886	25	38	31	19	28	21	27	18	22
b3887	32	20	23	30	41	34	25	17	24
b3888	34	51	47	56	57	61	47	26	49
b3889	0	1	0	0	0	0	0	0	0
b3890	1	2	1	3	1	7	2	2	1
b3891	29	31	37	51	51	40	28	28	52
b3892	4	9	13	12	11	17	11	4	11
b3893	4	11	6	2	7	8	7	1	6
b3894	28	26	40	13	33	18	24	7	53
b3895	17	18	19	24	15	19	21	8	23
b3896	5	4	2	3	2	3	8	3	0
b3897	3	3	3	3	2	1	2	1	3
b3898	2	4	2	3	8	1	3	1	2
b3899	0	0	1	1	1	2	0	2	3
b3900	3	0	0	1	0	1	1	1	1
b3901	0	0	1	0	0	4	1	5	0
b3902	0	0	0	0	0	0	1	2	1
b3903	0	0	0	1	0	0	0	0	0
b3904	0	0	0	0	0	0	0	0	0
b3905	1	3	1	2	4	1	3	1	3
b3906	3	2	1	4	7	1	3	5	1
b3907	1	5	5	4	5	9	9	4	1
b3908	1158	937	1263	891	902	683	718	750	956
b3909	2	4	3	3	6	4	3	1	2
b3910	36	25	37	23	28	22	19	13	25
b3911	55	50	67	65	54	73	48	49	82
b3912	89	111	120	120	153	104	144	87	133
b3915	67	57	70	78	74	73	60	34	86
b3916	352	383	517	445	549	415	391	278	390
b3917	17	14	21	25	46	31	17	41	29
b3918	6	15	8	6	5	14	6	5	5
b3919	783	722	860	711	1023	583	623	442	694
b3920	26	19	41	28	47	33	28	18	41
b3921	9	7	11	14	14	14	14	9	15
b3922	87	99	77	90	100	76	82	83	74
b3923	141	175	118	145	149	132	178	132	112
b3924	102	101	99	113	114	106	94	105	82
b3925	13	24	19	13	20	12	7	12	17
b3926	14	17	19	19	14	16	20	12	16
b3927	5	4	6	10	6	4	6	1	6
b3928	113	96	139	143	186	115	205	104	160
b3929	129	116	123	155	150	119	143	68	175
b3930	17	17	27	17	19	13	17	7	22
b3931	95	124	132	112	107	132	121	73	132
b3932	32	29	38	35	34	30	40	17	45
b3933	42	54	59	76	67	51	57	32	60
b3934	31	37	34	28	31	26	20	19	44
b3935	12	17	10	13	17	14	13	11	16
b3936	36	57	45	33	266	186	271	30	259
b3937	3	4	6	4	8	5	13	7	6
b3938	88	80	54	43	65	53	89	73	62
b3939	112	194	45	59	106	70	197	265	97
b3940	77	119	42	41	64	63	137	148	78
b3941	527	734	259	525	402	387	860	1097	262
b3942	67	81	100	102	116	114	47	67	93
b3943	9	7	7	7	6	9	5	4	8
b3944	0	2	3	2	0	1	4	3	1
b3945	7	7	8	14	6	11	6	4	7
b3946	2	2	0	1	2	2	5	1	0
b3947	1	4	0	3	1	2	5	2	1
b3949	0	4	0	0	0	0	2	1	0
b3950	0	0	0	0	0	0	2	0	1
b3951	8	8	8	7	13	16	6	9	6
b3952	1	4	3	1	0	2	0	1	0
b3953	1	0	0	4	0	1	1	1	2
b3954	6	14	6	12	6	6	6	3	5
b3955	52	94	96	94	117	101	71	56	91
b3956	723	623	768	633	625	597	394	512	685
b3957	78	85	79	78	102	77	82	72	87
b3958	46	53	20	9	17	13	30	38	22
b3959	38	30	13	6	13	15	8	11	17
b3960	60	64	47	21	41	26	24	46	46
b3961	53	56	74	48	66	44	53	24	80
b3962	137	113	122	148	126	126	180	86	165
b3963	82	66	62	95	81	78	96	43	91
b3964	48	60	52	77	72	62	77	46	66
b3965	72	92	83	102	119	95	93	46	105
b3966	51	55	80	100	122	116	76	39	89
b3967	30	26	36	28	37	26	31	20	28
b3968	32	162	44	45	26	21	13	43	43
b3969	11	7	9	6	16	7	6	15	12
b3970	57	486	77	158	77	59	29	109	117
b3971	0	14	3	1	3	1	2	3	0
b3972	63	65	78	82	74	78	117	44	84
b3973	37	23	30	30	27	35	30	19	23
b3974	47	50	72	86	78	69	90	44	53
b3976	23	42	42	19	37	17	16	13	32
b3977	42	58	83	31	69	41	39	27	61
b3978	23	40	31	21	51	20	30	19	49
b3979	24	30	39	13	33	17	11	14	24
b3980	1660	1996	2639	1720	2189	1785	1473	1198	2318
b3981	123	144	168	170	168	157	138	112	168
b3982	187	193	234	220	215	202	185	128	233
b3983	554	663	736	490	792	539	498	419	776
b3984	877	1073	1110	755	1110	769	788	752	1145
b3985	1416	1445	1839	1305	1872	1327	1581	1080	1977
b3986	1070	1197	1356	1068	1401	1104	1312	836	1493
b3987	2191	2725	2909	2796	2367	2074	1864	2197	2378
b3988	1949	2292	2667	2427	2402	1690	1560	1774	2342
b3989	7	7	6	9	9	8	7	2	7
b3990	208	236	200	278	319	293	274	234	364
b3991	61	65	67	83	96	95	62	60	128
b3992	52	69	65	79	101	109	65	66	118
b3993	53	82	64	98	108	108	75	84	123
b3994	347	462	395	755	725	795	539	458	839
b3995	137	121	150	238	223	211	183	86	152
b3996	50	70	72	43	61	55	50	41	66
b3997	72	67	86	55	65	59	38	38	101
b3998	22	30	36	28	26	15	19	26	28
b3999	51	61	64	68	84	43	87	39	75
b4000	423	342	481	489	493	360	444	232	479
b4001	17	12	21	21	28	14	11	16	20
b4002	3	4	0	2	0	0	1	1	2
b4003	1	10	2	2	2	3	3	3	7
b4004	1	7	6	5	4	4	5	9	7
b4005	29	31	44	20	36	33	14	13	38
b4006	38	58	58	49	63	66	40	30	78
b4007	66	498	69	119	76	53	19	108	141
b4008	13	19	9	12	10	10	10	9	9
b4009	76	664	116	188	102	61	39	136	162
b4010	0	3	1	0	0	0	0	0	0
b4011	1	2	2	1	1	2	2	0	0
b4012	1	3	3	2	1	2	2	0	5
b4013	369	588	195	482	720	741	2054	756	406
b4014	1824	2006	2452	2728	2184	2232	1625	1372	2025
b4015	909	1042	1447	1156	1201	872	506	703	1060
b4016	147	154	193	219	160	143	113	115	150
b4017	15	14	11	12	10	4	20	11	10
b4018	24	29	41	33	55	49	52	25	47
b4019	163	218	259	290	341	372	365	195	334
b4020	14	25	21	13	15	15	17	5	21
b4021	2	8	4	2	8	5	3	3	4
b4022	35	41	62	75	72	76	48	24	57
b4023	115	62	55	41	37	35	35	48	31
b4024	2000	1093	1295	228	267	173	218	916	248
b4025	893	919	911	506	841	627	630	627	690
b4026	9	8	3	9	4	4	9	27	2
b4027	4	2	0	0	0	1	1	0	0
b4028	1	0	1	1	0	1	0	1	0
b4029	16	28	13	8	7	13	13	16	9
b4030	39	35	28	132	56	80	80	42	41
b4031	17	24	18	55	40	37	40	19	10
b4032	2	5	3	6	8	7	4	2	7
b4033	3	5	8	4	7	9	3	6	6
b4034	4	10	24	14	20	17	3	1	18
b4035	0	5	7	3	1	4	0	1	2
b4036	2	12	10	5	5	7	9	1	14
b4037	8	8	14	9	15	11	7	4	9
b4038	3	0	2	1	2	1	7	1	2
b4039	17	18	15	23	22	11	15	9	25
b4040	18	24	23	36	26	29	43	11	31
b4041	70	89	107	51	96	88	57	55	94
b4042	26	26	30	27	52	35	24	13	35
b4043	42	51	64	60	77	50	55	36	54
b4044	3	7	17	3	4	6	5	3	6
b4045	75	43	24	33	58	40	76	60	38
b4046	21	25	26	17	20	11	22	10	27
b4047	1	0	0	1	0	0	1	0	0
b4048	0	1	1	0	0	4	1	2	1
b4049	37	32	53	65	48	63	51	23	45
b4050	3	7	3	2	5	2	9	4	3
b4051	166	182	164	164	203	142	134	118	149
b4052	68	75	81	74	65	83	66	49	89
b4053	22	31	33	28	23	32	35	27	32
b4054	206	208	319	472	460	448	297	239	348
b4055	8	11	9	25	23	22	15	7	7
b4056	74	85	68	86	89	71	101	63	71
b4057	33	34	38	34	41	28	43	27	21
b4058	93	109	75	56	85	67	73	66	97
b4059	74	72	93	64	78	71	63	43	78
b4060	8	15	7	18	9	18	32	11	10
b4061	31	37	24	23	19	27	32	24	19
b4062	14	24	17	22	33	18	34	21	20
b4063	13	11	7	10	14	4	11	7	10
b4064	22	27	41	37	41	36	23	18	35
b4065	16	21	22	17	22	18	18	14	22
b4066	0	3	2	0	1	0	1	2	1
b4067	3	4	10	3	6	9	1	5	6
b4068	0	1	2	1	3	1	0	1	2
b4069	26	22	29	10	19	13	16	10	24
b4070	5	5	4	5	1	10	6	1	3
b4071	2	2	0	1	0	2	1	0	1
b4072	1	0	0	0	0	1	0	0	0
b4073	0	2	2	0	0	2	1	2	0
b4074	1	2	0	4	2	3	7	4	0
b4075	0	0	0	1	1	0	1	0	0
b4076	1	0	1	2	4	5	1	0	1
b4077	4	5	8	18	19	34	17	3	26
b4078	19	33	35	41	22	29	33	23	33
b4079	7	10	6	10	9	14	8	7	10
b4080	0	5	0	0	1	0	2	0	1
b4081	3	10	5	3	4	4	4	6	2
b4082	1	3	1	1	1	1	4	4	0
b4083	0	4	2	0	2	0	3	2	0
b4084	2	4	6	3	3	5	3	1	4
b4085	2	2	1	4	5	6	4	2	2
b4086	4	5	6	0	2	0	2	3	0
b4087	3	3	1	1	2	2	3	1	1
b4088	3	3	4	6	7	5	3	3	2
b4089	26	31	32	34	38	24	29	22	35
b4090	2	4	0	2	2	5	7	3	2
b4092	4	3	4	5	1	5	2	7	3
b4093	7	6	2	0	2	7	3	1	2
b4094	1	0	1	0	0	1	1	0	2
b4095	0	3	1	0	0	1	0	3	1
b4096	2	4	2	0	2	2	4	2	1
b4097	0	1	0	0	1	1	0	1	0
b4098	0	2	0	0	0	0	1	1	1
b4099	1	3	1	0	0	0	0	1	0
b4100	0	0	0	0	0	1	0	0	0
b4101	1	0	0	0	0	0	1	0	0
b4102	0	0	1	0	0	1	1	1	0
b4104	0	4	0	0	0	0	0	0	1
b4105	1	0	0	0	2	3	0	1	0
b4106	0	5	0	0	1	0	0	2	0
b4107	32	46	26	52	22	22	47	60	15
b4108	7	4	12	9	7	6	4	3	3
b4109	14	19	18	27	39	32	28	13	22
b4110	2	3	0	5	7	4	4	4	4
b4111	391	322	332	381	315	359	362	257	358
b4112	11	23	12	18	26	18	16	14	11
b4113	5	24	21	12	22	20	10	7	22
b4114	7	9	11	16	13	10	9	5	9
b4115	3	6	1	3	1	2	4	4	1
b4116	5	5	3	1	1	3	9	3	1
b4117	7	5	6	6	8	9	3	8	5
b4118	8	16	12	14	15	11	15	6	16
b4119	3	4	5	3	6	6	5	5	8
b4120	18	16	11	10	16	19	16	7	14
b4121	14	11	10	18	17	21	3	9	12
b4122	3	9	0	6	0	3	4	2	2
b4123	3	6	0	2	1	1	5	1	2
b4124	20	19	20	7	26	25	20	13	14
b4125	20	15	24	23	23	14	26	12	35
b4126	24	14	14	10	12	6	17	12	11
b4127	24	27	22	18	21	10	29	20	23
b4128	2	4	0	2	5	1	4	2	1
b4129	77	100	105	80	100	90	113	59	80
b4130	6	9	6	5	13	3	13	5	12
b4131	3	13	3	6	7	7	11	4	5
b4132	2	7	0	3	2	2	3	3	1
b4133	9	6	4	7	7	5	12	7	8
b4134	1	1	2	2	0	0	2	0	1
b4135	100	151	122	75	81	62	75	71	97
b4136	39	36	49	43	37	44	37	28	56
b4137	13	20	21	24	24	18	17	14	26
b4138	74	111	104	97	136	138	102	59	123
b4139	66	73	63	80	95	78	89	61	78
b4140	7	10	12	11	8	12	21	11	16
b4141	23	18	33	39	40	23	29	13	27
b4142	67	145	139	77	225	178	207	101	203
b4143	386	704	754	324	1159	728	968	442	954
b4144	141	123	145	161	147	162	115	75	123
b4145	19	16	14	31	23	30	23	11	21
b4146	58	61	46	66	49	63	43	48	49
b4147	290	321	366	368	444	276	468	252	424
b4148	18	18	23	23	21	16	15	23	23
b4149	49	47	53	39	42	29	32	20	31
b4150	18	21	13	11	19	21	21	13	16
b4151	5	2	8	5	4	5	3	3	4
b4152	9	7	4	9	6	2	4	5	4
b4153	9	8	7	8	8	8	2	6	11
b4154	21	27	23	14	23	10	9	19	17
b4155	6	16	15	14	16	27	10	8	17
b4156	11	8	1	2	7	8	14	1	5
b4157	0	2	2	1	0	3	0	2	2
b4158	2	1	1	3	3	3	2	0	2
b4159	24	29	46	39	32	29	27	22	55
b4160	83	92	97	115	116	95	66	59	89
b4161	117	113	96	120	146	114	92	79	147
b4162	41	54	53	49	45	53	48	38	57
b4163	19	15	18	9	15	9	14	8	12
b4164	9	1	6	6	1	5	3	2	8
b4165	0	3	1	7	3	1	3	1	0
b4166	30	28	41	21	31	22	39	24	35
b4167	20	22	27	14	20	21	20	30	29
b4168	7	9	12	13	11	15	9	6	12
b4169	42	32	40	53	59	60	42	40	56
b4170	44	50	40	43	31	40	41	23	49
b4171	304	265	364	290	483	319	287	187	403
b4172	232	207	266	222	373	270	300	153	333
b4173	227	276	304	268	339	269	269	161	332
b4174	245	291	378	219	264	270	163	177	327
b4175	207	171	247	190	229	185	137	106	238
b4176	2	3	1	1	2	3	7	3	1
b4177	587	618	864	1008	961	884	784	473	1017
b4178	19	26	25	23	29	20	35	9	32
b4179	162	172	165	151	171	106	97	102	178
b4180	37	42	39	28	36	23	24	18	41
b4181	0	0	0	1	0	0	2	0	1
b4182	4	2	0	2	2	2	0	0	1
b4183	0	3	0	0	0	3	1	0	2
b4184	2	0	0	1	1	0	0	0	0
b4185	0	3	2	1	2	3	3	1	0
b4186	0	7	1	3	4	2	3	2	1
b4187	33	35	38	17	32	20	19	21	21
b4188	5	8	8	4	9	7	7	5	6
b4189	24	15	7	11	16	13	11	11	14
b4190	28	27	19	65	36	41	23	20	29
b4191	15	20	24	23	21	20	15	8	19
b4192	3	3	12	6	7	12	6	4	2
b4193	1	1	1	0	2	1	6	1	0
b4194	1	1	0	0	1	2	1	0	1
b4195	3	0	1	1	0	0	0	0	1
b4196	2	3	0	3	3	3	3	3	2
b4197	0	2	2	1	0	0	2	2	0
b4198	0	2	2	1	0	1	3	1	3
b4199	5	6	6	12	4	5	21	10	5
b4200	328	415	524	343	392	328	294	311	517
b4201	234	277	307	224	290	258	222	214	331
b4202	204	277	329	277	289	273	277	205	354
b4203	418	425	528	440	579	481	516	368	563
b4204	4	2	2	2	5	3	2	2	1
b4205	13	10	9	10	12	12	5	5	10
b4206	44	41	61	64	61	53	41	35	49
b4207	92	83	139	127	147	112	80	64	98
b4208	106	108	131	191	185	218	214	106	177
b4209	3	2	7	5	6	9	7	4	6
b4210	10	9	9	10	9	9	10	7	6
b4211	11	8	5	6	5	5	7	4	11
b4212	2	3	10	5	5	5	9	4	4
b4213	47	53	71	84	85	91	71	36	66
b4214	60	61	71	68	82	60	50	40	65
b4215	1	6	1	2	4	1	5	4	1
b4216	13	12	7	9	7	2	4	2	2
b4217	76	65	55	85	112	62	132	66	105
b4218	23	25	21	68	41	37	58	20	34
b4219	106	105	113	130	132	137	85	63	100
b4220	63	84	81	94	79	81	73	43	104
b4221	123	96	129	105	135	109	133	60	117
b4222	33	39	48	65	82	72	66	30	55
b4224	6	5	3	7	5	5	6	6	3
b4225	2	6	4	5	2	0	2	4	1
b4226	549	582	663	634	733	641	637	420	624
b4227	14	7	6	12	14	17	11	5	9
b4230	2	2	1	2	0	1	1	1	2
b4231	7	4	6	4	5	5	7	5	4
b4232	129	124	130	71	138	110	89	67	145
b4233	60	81	98	71	71	70	70	65	72
b4234	43	51	61	35	36	34	24	25	49
b4235	81	104	122	94	92	94	88	79	95
b4236	16	14	10	13	10	10	15	11	17
b4237	1	6	6	6	5	3	6	5	3
b4238	29	48	33	39	51	40	83	49	39
b4239	1	4	2	5	5	2	4	1	2
b4240	1	9	3	2	4	4	2	5	6
b4241	12	17	12	10	20	7	15	12	20
b4242	17	18	41	15	26	20	20	15	23
b4243	77	116	143	117	238	164	112	85	145
b4244	56	102	107	26	245	179	21	45	161
b4245	84	175	168	25	258	242	19	68	217
b4246	5	5	3	3	5	8	5	6	8
b4248	19	20	13	28	23	19	20	13	20
b4249	1	4	7	4	2	2	7	2	5
b4251	12	5	19	8	14	18	14	7	12
b4252	383	405	523	687	795	736	553	277	507
b4253	37	36	48	41	39	68	64	40	42
b4254	57	57	21	1	21	5	15	35	34
b4255	141	150	172	218	202	128	216	116	172
b4256	19	27	30	39	27	54	24	18	20
b4257	1	1	0	4	1	2	5	2	0
b4258	270	367	412	353	492	384	308	209	524
b4259	27	23	39	24	37	40	21	18	32
b4260	171	202	271	136	283	187	118	113	234
b4261	35	36	43	47	50	49	39	24	45
b4262	46	43	46	53	48	43	42	50	57
b4263	50	67	62	56	55	53	36	51	48
b4264	17	42	20	51	46	34	39	23	25
b4265	13	12	17	16	20	25	25	10	12
b4266	3	2	5	1	3	2	2	2	3
b4267	0	2	2	3	3	7	2	0	1
b4268	2	4	2	2	7	9	3	5	3
b4269	31	44	42	23	34	31	29	16	34
b4270	0	1	3	1	1	2	4	3	1
b4271	29	23	26	27	37	28	37	25	33
b4272	4	2	2	1	1	2	0	0	1
b4273	5	12	14	13	10	9	6	14	6
b4277	0	3	0	0	0	0	0	0	1
b4278	10	10	15	13	12	11	11	8	13
b4279	4	9	6	5	7	5	13	2	9
b4280	13	9	12	5	18	14	14	5	12
b4281	4	3	1	5	6	2	9	0	1
b4282	1	2	2	2	2	5	3	0	1
b4284	51	46	47	60	61	62	43	31	53
b4286	1	2	1	0	2	2	3	4	2
b4287	9	12	12	7	10	11	13	8	11
b4288	4	4	8	3	6	3	7	1	6
b4289	4	8	6	3	2	2	0	4	4
b4290	11	8	11	6	25	12	13	9	23
b4291	39	55	59	61	39	46	65	40	64
b4292	42	60	55	58	50	40	36	56	69
b4293	129	160	166	209	173	142	180	128	202
b4294	3	5	5	5	10	5	7	4	4
b4295	54	54	67	59	62	57	50	33	78
b4296	10	11	9	8	12	18	11	7	9
b4297	5	6	17	14	13	14	15	7	11
b4298	3	4	7	1	3	3	4	4	9
b4299	2	1	0	0	2	2	1	1	1
b4300	5	6	6	4	8	6	6	3	5
b4301	3	3	3	0	7	1	4	3	3
b4302	2	2	3	2	3	3	6	1	1
b4303	11	11	11	19	13	18	14	6	10
b4304	1	5	2	1	1	7	4	1	6
b4305	7	11	10	13	12	17	7	7	13
b4306	3	6	2	0	1	0	5	2	0
b4307	2	1	0	1	2	1	1	0	0
b4308	5	6	2	3	7	5	6	0	2
b4309	9	10	5	7	16	4	10	6	7
b4310	22	36	28	32	37	21	38	21	24
b4311	4	6	2	2	11	6	6	3	4
b4312	3	9	22	20	43	31	26	5	30
b4313	2	8	5	18	10	9	14	4	12
b4314	500	497	659	1031	1510	755	1053	309	1155
b4315	36	43	47	74	100	64	83	24	80
b4316	10	21	26	39	62	37	55	11	54
b4317	13	43	38	48	64	40	66	24	59
b4318	4	10	17	11	10	6	11	2	7
b4319	5	5	7	5	12	10	2	5	13
b4320	11	19	28	21	28	19	23	5	26
b4321	1	4	2	2	2	4	4	4	1
b4322	10	23	20	36	17	28	4	22	14
b4323	5	11	21	12	8	10	6	4	9
b4324	23	35	19	16	20	31	20	11	32
b4325	0	1	0	2	2	0	2	0	0
b4326	0	5	0	4	4	2	5	3	1
b4327	10	23	13	18	19	13	11	7	11
b4328	8	10	13	11	12	8	10	6	10
b4329	2	2	5	2	3	1	0	3	2
b4330	1	0	1	2	0	1	0	1	1
b4331	5	4	6	13	5	6	7	4	4
b4332	18	13	13	12	13	13	12	12	7
b4333	2	2	3	6	4	8	6	2	1
b4334	3	1	0	3	2	3	2	5	0
b4335	6	5	7	1	2	3	4	5	3
b4336	33	19	19	15	18	14	23	16	23
b4337	6	10	9	11	7	10	10	6	6
b4339	8	9	14	12	14	19	18	15	16
b4340	14	25	20	10	6	11	16	11	22
b4341	1	0	0	1	1	3	0	0	0
b4342	32	32	42	33	50	33	26	24	26
b4345	5	3	11	3	4	1	3	4	4
b4346	14	26	20	5	20	7	18	8	17
b4347	2	2	0	0	1	1	1	1	2
b4348	9	11	11	5	11	22	14	6	14
b4349	21	34	37	25	55	40	27	19	47
b4350	19	39	56	27	44	36	30	28	43
b4351	21	24	25	34	32	28	29	24	33
b4352	35	32	50	36	43	31	30	31	44
b4353	7	7	12	3	7	9	16	9	12
b4354	10	21	4	3	8	16	41	115	8
b4355	5	2	10	5	8	6	11	3	1
b4356	4	8	5	5	7	11	7	1	5
b4357	2	5	3	1	5	1	8	6	6
b4358	2	4	0	2	5	3	4	5	3
b4359	56	64	74	71	67	59	57	41	60
b4360	24	22	26	18	17	23	17	14	20
b4361	32	36	31	39	42	38	35	34	32
b4362	18	25	16	21	26	18	19	19	16
b4363	1	3	2	0	0	2	1	3	2
b4364	6	5	4	6	3	9	6	5	3
b4365	1	2	1	0	2	3	2	0	2
b4366	94	99	108	123	112	93	109	68	93
b4367	831	799	810	911	896	722	858	671	862
b4368	14	11	16	11	15	8	7	11	13
b4369	24	7	18	9	8	10	5	24	13
b4370	11	8	17	8	13	9	9	15	17
b4371	20	28	28	32	28	39	17	27	32
b4372	10	14	17	10	14	17	8	2	13
b4373	14	24	18	30	19	18	19	17	23
b4374	24	29	25	36	39	38	24	15	29
b4375	72	91	107	91	119	108	62	55	83
b4376	1036	969	733	508	765	437	657	648	605
b4377	33	36	35	40	26	38	31	27	31
b4378	4	4	6	7	7	9	6	5	1
b4379	0	3	0	0	1	0	2	0	1
b4380	4	7	6	6	6	3	5	3	1
b4381	33	51	47	23	38	38	23	35	36
b4382	37	56	52	45	42	45	47	31	53
b4383	143	217	159	141	193	135	139	162	175
b4384	130	230	226	115	234	121	147	106	192
b4385	14	23	26	26	29	33	14	15	22
b4386	10	16	11	15	16	14	7	9	14
b4387	8	13	15	7	18	11	10	8	12
b4388	27	19	33	26	28	37	17	14	24
b4389	30	41	40	33	28	30	22	24	25
b4390	66	76	58	82	69	69	67	39	69
b4391	198	230	275	193	288	234	181	156	292
b4392	72	97	76	84	96	51	67	89	92
b4393	41	31	30	34	22	21	24	25	30
b4394	15	13	20	17	18	14	8	15	16
b4395	43	50	41	37	42	32	31	33	53
b4396	176	171	170	150	138	112	165	106	166
b4397	18	26	40	38	37	46	36	20	34
b4398	9	15	19	22	30	24	18	13	18
b4399	10	13	12	12	12	7	12	6	13
b4400	3	4	4	11	9	12	4	3	7
b4401	725	721	740	930	835	753	834	471	589
b4402	120	115	93	142	139	119	143	81	101
b4403	14	21	15	20	32	22	25	11	16
b4406	59	61	60	38	57	39	64	30	50
b4407	18	15	11	29	21	22	19	9	21
b4408	4635	4610	4058	6692	5246	4098	7281	5390	4422
b4409	16	13	9	18	27	10	20	6	15
b4410	7	4	3	5	2	3	7	1	1
b4411	829	645	520	761	616	388	991	544	522
b4412	0	0	0	0	0	0	0	0	0
b4413	2	2	1	3	3	2	3	2	3
b4414	274	256	283	311	321	258	294	184	321
b4415	1	1	0	2	2	2	0	0	1
b4416	67	46	41	139	52	80	187	61	48
b4417	1	1	0	0	1	1	1	0	1
b4418	89	72	82	113	118	79	109	56	128
b4419	11	8	7	6	11	9	6	5	7
b4420	1	2	4	1	1	1	4	2	1
b4421	2	1	1	2	0	2	2	1	1
b4422	1	1	1	1	2	1	2	0	0
b4423	5	5	9	5	5	5	6	1	6
b4424	4	2	1	2	2	1	1	1	2
